716,178,Yes
717,178,No
718,178,Most of the times
719,178,Sometimes
720,29,Yes
721,29,No
722,169,Yes
723,169,No
724,181,yes
725,181,No
726,344,Yes
727,344,No
728,344,Yes
729,344,No
730,344,Can't Say
731,348,Yes
732,348,No
733,342,Yes
734,342,No
735,342,Can't Say
736,331,Yes
737,331,No
738,343,Yes
739,343,No
740,343,Can't Say
741,123,Yes
742,123,No
743,171,Yes
744,171,No
745,136,Wearing themselves
746,136,Giving as a gift
747,136,Both
748,98,Yes
749,98,No
750,57,Easy
751,57,Challenging
752,57,Can't Say
753,318,Yes
754,318,No
755,318,Can't Say
756,354,Yes
757,354,No
758,131,Yes
759,131,No
760,102,Yes
761,102,No
762,21,Yes
763,21,No
764,180,Wall art
765,180,Showpiece
766,180,as gift for friend
767,225,Yes
768,225,No
769,249,Yes
770,249,No
771,165,Yes
772,165,No
773,119,Yes
774,119,No
775,346,Yes
776,346,no
777,346,Can't say
778,113,Yes
779,113,No
780,113,Can't say
781,112,Yes
782,112,No
783,340,Yes
784,340,No
785,339,Yes
786,339,No
787,339,Can't say
788,349,Yes
789,349,No
790,349,Can't say
791,330,Yes
792,330,No
793,330,Can't say
794,167,Yes
795,167,No
796,176,Yes
797,176,No
798,176,Sometimes
799,114,Yes
800,114,No
801,114,Can't Say
802,336,Yes
803,336,No
804,336,Can't Say
805,323,Yes
806,323,No
807,323,Can't Say
808,172,Yes
809,172,No
810,172,Can't Say
811,324,Yes
812,324,No
813,150,Yes
814,150,No
815,94,Yes
816,94,No
817,106,Yes
818,106,No
819,333,Yes
820,333,No
821,333,Can't Say
822,327,Yes
823,327,No
824,327,Can't Say
825,95,Yes
826,95,No
827,95,Sometimes
828,13,Yes
829,13,No
830,32,Yes
831,32,No
832,110,Yes
833,110,No
834,372,Yes
835,372,No
836,116,Yes
837,116,No
838,248,Yes
839,248,No
840,248,Can't Say
841,191,Easy
842,191,Challenging
843,362,Yes
844,362,No
845,362,Maybe
846,159,Yes
847,159,No
848,159,Can't Say
849,184,Ball continued to float
850,184,Ball dropped down
851,359,Yes
852,359,No
853,359,Can't Say
854,143,Yes
855,143,No
856,143,Can't Say
857,367,Yes
858,367,No
859,367,Can't Say
860,363,Yes
861,363,No
862,363,Can't Say
863,358,Yes
864,358,No
865,358,Can't Say
866,364,Yes
867,364,No
868,364,Maybe
869,145,Yes
870,145,No
871,360,Yes
872,360,No
873,308,Strength of design
874,308,Repeated failures
875,308,Thinking of designs
876,308,Testing for strength
877,2,Yes
878,2,No
879,361,Yes
880,361,No
881,361,Can't Say
