Act_id,Focus area,associated Skill 1,associated Skill 2,associated skill 3,associated skill 4,1,2,3,4,5,6,7,8,9,10,11,12
210,Creativity,Motor skills,Concentration,None,None,None,None,Y,Y,Y,None,None,None,None,None,None,None
211,Logical and Lateral,Creativity,Fine Motor Skills,None,None,None,None,None,Y,Y,Y,None,None,None,None,None,None
212,Creativity,Fine Motor Skills,Patience,None,None,None,None,Y,Y,Y,None,None,None,None,None,None,None
213,Creativity,Motor skills,Patience,Critical Thinking,Concentration,None,None,None,Y,Y,None,None,None,None,None,None,None
214,Logical and Lateral,Cognitive development,Critical Thinking,None,None,None,None,None,Y,Y,None,None,None,None,None,None,None
215,Creativity,Patience,Concentration,None,None,None,None,Y,Y,Y,None,None,None,None,None,None,None
216,Creativity,Fine Motor Skills,Concentration,Patience,None,None,None,None,Y,Y,None,None,None,None,None,None,None
217,Logical and Lateral,Fine Motor Skills,Imagination,Critical Thinking,None,None,None,None,Y,Y,None,None,None,None,None,None,None
218,Creativity,fine motor skills,Concentration,None,None,None,None,None,Y,Y,None,None,None,None,None,None
219,Creativity,motor skills,imagination,art & craft,None,None,None,None,None,Y,Y,Y,None,None,None,None
220,Team Work,team work,Decision Making,None,None,None,None,None,Y,Y,Y,None,None,None,None,None
221,Creativity,Patience,fine motor skills,imagination,None,None,None,None,None,Y,Y,None,None,None,None,None
222,Creativity,patience,None,None,None,None,None,None,None,Y,Y,Y,None,None,None,None
223,Creativity,observation,motor skills,None,None,None,None,Y,Y,Y,Y,None,None,None,None,None
224,Concentration,critical thinking,observation skills,None,None,None,None,None,Y,Y,Y,None,None,None,None,None
225,Concentration,Fine Motor Skills,Focus,Cognitive Development,Critical Thinking,None,None,None,None,Y,Y,None,None,None,None,None
226,Logical and Lateral,Fine Motor Skills,Concentration,Patience,Focus,None,None,None,None,Y,Y,None,None,None,None,None
227,Creativity,Fine Motor Skills,Critical Thinking,Patience,Cognitive Development,None,None,None,None,Y,Y,None,None,None,None,None
