378,162,Can't Say,Null
379,163,Yes,Null
380,163,No,Null
381,163,Can't Say,Null
382,164,Yes,Null
383,164,No,Null
384,165,making the name post,Null
385,165,Painting,Null
386,165,Writing names,Null
387,165,Displaying the art,Null
388,166,Yes,Null
389,166,No,Null
390,166,Can't Say,Null
391,167,Yes,Null
392,167,No,Null
393,168,Yes,Null
394,168,No,Null
395,168,Can't Say,Null
396,169,Yes,Null
397,169,No,Null
398,169,Can't Say,Null
399,170,Yes,Null
400,170,No,Null
401,170,Can't Say,Null
402,171,Yes,Null
403,171,No,Null
404,172,Yes,Null
405,172,No,Null
406,172,Can't Say,Null
407,173,Yes,Null
408,173,No,Null
409,174,Yes,Null
410,174,No,Null
411,174,Can't Say,Null
412,175,just 1,Null
413,175,2 to 3,Null
414,175,more than 5,Null
415,176,Yes,Null
416,176,No,Null
417,176,Can't Say,Null
418,177,Yes,Null
419,177,No,Null
420,177,Sometimes,Null
421,178,Yes,Null
422,178,No,Null
423,178,Can't Say,Null
424,179,Yes,Null
425,179,No,Null
426,181,Yes,Null
427,181,No,Null
428,181,Can't Say,Null
429,183,Yes,Null
430,183,No,Null
431,185,Yes,Null
432,185,No,Null
433,186,Yes,Null
434,186,No,Null
435,186,Can't Say,Null
436,187,Yes,Null
437,187,No,Null
438,188,Yes,Null
439,188,No,Null
440,188,Can't Say,Null
441,189,Yes,Null
442,189,No,Null
443,190,Yes,Null
444,190,No,Null
445,190,Sometimes,Null
446,191,Yes,Null
447,191,No,Null
448,192,Yes,Null
449,192,No,Null
450,193,Yes,Null
451,193,No,Null
452,193,Most of the times,Null
453,193,Sometimes,Null
454,194,Yes,Null
455,194,No,Null
456,196,On their own,Null
457,196,Required help,Null
458,196,Mix of both,Null
459,197,Yes,Null
460,197,No,Null
461,197,Most of the times,Null
462,197,Sometimes,Null
463,198,Yes,Null
464,198,No,Null
465,199,Yes,Null
466,199,No,Null
467,199,Sometimes,Null
468,200,Yes,Null
469,200,No,Null
470,201,Yes,Null
471,201,No,Null
472,202,Yes,Null
473,202,No,Null
474,203,Yes,Null
475,203,No,Null
476,204,Yes,Null
477,204,No,Null
478,204,Sometimes,Null
479,205,Yes,Null
480,205,No,Null
481,205,Most of the times,Null
482,205,Sometimes,Null
483,206,Yes,Null
484,206,No,Null
485,208,Yes,Null
486,208,No,Null
487,209,Yes,Null
488,209,No,Null
489,209,Can't Say,Null
490,210,Yes,Null
491,210,No,Null
492,211,Yes,Null
493,211,No,Null
494,211,Most of the times,Null
495,211,Sometimes,Null
496,212,Yes,Null
497,212,No,Null
498,212,Most of the times,Null
499,212,Sometimes,Null
500,213,Yes,Null
501,213,No,Null
502,214,Yes,Null
503,214,No,Null
504,214,Can't Say,Null
505,215,Yes,Null
506,215,No,Null
507,216,Yes,Null
508,216,No,Null
509,216,Can't Say,Null
510,217,yes,Null
511,217,No,Null
512,218,Yes,Null
513,218,No,Null
514,218,Can't Say,Null
515,219,Yes,Null
516,219,No,Null
517,220,Yes,Null
518,220,No,Null
519,221,Yes,Null
520,221,No,Null
521,221,Can't Say,Null
522,222,Yes,Null
523,222,No,Null
524,223,Yes,Null
525,223,No,Null
526,224,Yes,Null
527,224,No,Null
528,226,Yes,Null
529,226,No,Null
530,226,Can't Say,Null
531,227,Yes,Null
532,227,No,Null
533,227,Can't Say,Null
534,228,Yes,Null
535,228,No,Null
536,229,Yes,Null
537,229,No,Null
538,230,Yes,Null
539,230,No,Null
540,230,Can't Say,Null
541,231,Yes,Null
542,231,No,Null
543,231,Can't Say,Null
544,232,Yes,Null
545,232,No,Null
546,232,Most of the times,Null
547,232,Sometimes,Null
548,233,Yes,Null
549,233,No,Null
550,234,Yes,Null
551,234,No,Null
552,235,Yes,Null
553,235,No,Null
554,236,Ask for help,Null
555,236,Work independently,Null
556,236,Mix of both,Null
557,237,Wearing themselves,Null
558,237,Giving as a gift,Null
559,237,Both,Null
560,238,Happy,Null
561,238,Content,Null
562,238,Satisfied,Null
563,238,Neutral,Null
564,239,Yes,Null
565,239,No,Null
566,240,Thinking of ideas,Null
567,240,Painting the t-shirt,Null
568,240,Family Bonding,Null
569,241,Easy,Null
570,241,Challenging,Null
571,241,Can't Say,Null
572,242,Leaves and flowers,Null
573,242,stones,Null
574,242,twigs, stems,Null
575,242,feathers,Null
576,244,Arranging the crayons,Null
577,244,Using the hairdryer,Null
578,244,Swirling around the melted crayons,Null
579,246,Yes,Null
580,246,No,Null
581,246,Can't Say,Null
582,247,Yes,Null
583,247,No,Null
584,247,Can't Say,Null
585,248,Yes,Null
586,248,No,Null
587,248,Can't Say,Null
588,249,Yes,Null
589,249,No,Null
590,250,Yes,Null
591,250,No,Null
592,250,Most of the times,Null
593,250,Sometimes,Null
594,251,Yes,Null
595,251,No,Null
596,252,Yes,Null
597,252,No,Null
598,253,Yes,Null
599,253,No,Null
600,254,Yes,Null
601,254,No,Null
602,255,Yes,Null
603,255,No,Null
604,256,Yes,Null
605,256,No,Null
606,258,Yes,Null
607,258,No,Null
608,259,Wall art,Null
609,259,Showpiece,Null
610,259,as gift for friend,Null
611,260,Yes,Null
612,260,No,Null
613,261,Yes,Null
614,261,No,Null
615,262,Yes,Null
616,262,No,Null
617,263,Yes,Null
618,263,No,Null
619,264,Yes,Null
620,264,No,Null
621,264,Can't Say,Null
622,265,Yes,Null
623,265,No,Null
624,266,Yes,Null
625,266,No,Null
626,267,Yes,Null
627,267,No,Null
628,268,Yes,Null
629,268,No,Null
630,270,Yes,Null
631,270,No,Null
632,271,Yes,Null
633,271,no,Null
634,271,Can't say,Null
635,272,Yes,Null
636,272,No,Null
637,273,Yes,Null
638,273,No,Null
639,273,Can't say,Null
640,274,Yes,Null
641,274,No,Null
642,275,Yes,Null
643,275,No,Null
644,276,Yes,Null
645,276,No,Null
646,277,Yes,Null
647,277,No,Null
648,278,Yes,Null
649,278,No,Null
650,279,Yes,Null
651,279,No,Null
652,279,Can't say,Null
653,280,Yes,Null
654,280,No,Null
655,281,Yes,Null
656,281,No,Null
657,281,Can't say,Null
658,282,Yes,Null
659,282,No,Null
660,282,Sometimes,Null
661,283,Yes,Null
662,283,No,Null
663,283,Can't say,Null
664,284,Yes,Null
665,284,No,Null
666,285,Yes,Null
667,285,No,Null
668,286,Yes,Null
669,286,No,Null
670,287,Yes,Null
671,287,No,Null
672,287,Sometimes,Null
673,288,Yes,Null
674,288,No,Null
675,289,Yes,Null
676,289,No,Null
677,289,Can't Say,Null
678,290,1 to 2,Null
679,290,3 to 5,Null
680,290,more than 5,Null
681,290,more than 10,Null
682,291,Yes,Null
683,291,No,Null
684,291,Can't Say,Null
685,292,Yes,Null
686,292,No,Null
687,294,Yes,Null
688,294,No,Null
689,295,Yes,Null
690,295,No,Null
691,295,Can't Say,Null
692,296,Yes,Null
693,296,No,Null
694,297,Yes,Null
695,297,No,Null
696,297,Can't Say,Null
697,298,Yes,Null
698,298,No,Null
699,299,Yes,Null
700,299,No,Null
701,300,Yes,Null
702,300,No,Null
703,302,Yes,Null
704,302,No,Null
705,302,Can't Say,Null
706,303,Yes,Null
707,303,No,Null
708,304,1 to 2,Null
709,304,3 to 5,Null
710,304,more than 5,Null
711,306,Arranging to form solar system,Null
712,306,Gathering all required material,Null
713,306,Research,Null
714,307,Yes,Null
715,307,No,Null
716,308,Yes,Null
717,308,No,Null
718,309,Yes,Null
719,309,No,Null
720,310,Very well,Null
721,310,Well,Null
722,310,Satisfied,Null
723,312,Yes,Null
724,312,No,Null
725,312,Can't Say,Null
726,314,Yes,Null
727,314,No,Null
728,314,Mostly,Null
729,315,Yes,Null
730,315,No,Null
731,315,Can't Say,Null
732,316,Yes,Null
733,316,No,Null
734,317,Yes,Null
735,317,No,Null
736,317,Can't Say,Null
737,318,Yes,Null
738,318,No,Null
739,319,Yes,Null
740,319,No,Null
741,319,Sometimes,Null
742,320,Yes,Null
743,320,No,Null
744,320,Sometimes,Null
745,321,Yes,Null
746,321,No,Null
747,322,Yes,Null
748,322,No,Null
749,323,Yes,Null
750,323,No,Null
751,324,Yes,Null
752,324,No,Null
753,324,Maybe,Null
754,325,Yes,Null
755,325,No,Null
756,327,Yes,Null
757,327,No,Null
758,328,Yes,Null
759,328,No,Null
760,329,Making the sun,Null
761,329,attaching to cardboard,Null
762,329,blowing through straw,Null
763,330,Yes,Null
764,330,No,Null
765,331,Yes,Null
766,331,No,Null
767,331,Can't Say,Null
768,333,No,Null
769,333,Yes,Null
770,335,Yes,Null
771,335,No,Null
772,336,Yes,Null
773,336,No,Null
774,336,Can't Say,Null
775,337,Making and designing the bird feeder,Null
776,337,Leading the project,Null
777,337,Selecting the seeds,Null
778,337,Watching the birds use the feeder,Null
779,338,Easy,Null
780,338,Challenging,Null
781,340,Air escaping the balloon ,Null
782,340,Force of attraction,Null
783,340,Gravity,Null
784,342,Fizzing and bubbling reaction,Null
785,342,Fizzing sound and gushing of air,Null
786,342,Foam eruption,Null
787,344,Static electricity,Null
788,344,Gravitational attraction,Null
789,344,Adhesive force,Null
790,345,Yes,Null
791,345,No,Null
792,345,Maybe,Null
793,346,Yes,Null
794,346,No,Null
795,346,Maybe,Null
796,347,Yes,Null
797,347,No,Null
798,347,Can't Say,Null
799,349,Air pressure,Null
800,349,Resistance force,Null
801,349,Heat,Null
802,350,Ball continued to float,Null
803,350,Ball dropped down,Null
804,351,Density of materials,Null
805,351,Properties of water,Null
806,351,Properties of oil,Null
807,351,All of the above,Null
808,352,Yes,Null
809,352,No,Null
810,352,Can't Say,Null
811,353,Helps to melt the ice,Null
812,353,Helps to heat the ice,Null
813,353,Lowers melting temperature of ice,Null
814,353,Acts like an adhesive,Null
815,354,Yes,Null
816,354,No,Null
817,354,Can't Say,Null
818,355,Magic,Null
819,355,Water Pressure,Null
820,355,Leak proof bag,Null
821,357,Change in volume and amplification,Null
822,357,Change in quality of sound,Null
823,357,Change in clarity,Null
824,359,Yes,Null
825,359,No,Null
826,359,Maybe,Null
827,360,Yes,Null
828,360,No,Null
829,360,Can't Say,Null
830,361,Yes,Null
831,361,No,Null
832,361,Required help in between,Null
833,362,Yes,Null
834,362,No,Null
835,362,Can't Say,Null
836,363,Yes,Null
837,363,No,Null
838,363,Mostly,Null
839,364,Yes,Null
840,364,No,Null
841,364,Can't Say,Null
842,365,Yes,Null
843,365,No,Null
844,366,Yes,Null
845,366,No,Null
846,366,Maybe,Null
847,367,Yes,Null
848,367,No,Null
849,368,Yes,Null
850,368,No,Null
851,369,Yes,Null
852,369,No,Null
853,371,Yes,Null
854,371,No,Null
855,372,Yes,Null
856,372,No,Null
857,373,Yes,Null
858,373,No,Null
859,375,Excited,Null
860,375,Curious,Null
861,375,Anxious,Null
862,375,Unsure,Null
863,377,Setting up the catapult,Null
864,377,Using the catapult,Null
865,378,Yes,Null
866,378,No,Null
867,379,Yes,Null
868,379,No,Null
869,379,Sometimes,Null
870,380,Yes,Null
871,380,No,Null
872,380,Can't Say,Null
873,381,Yes,Null
874,381,No,Null
875,383,Yes,Null
876,383,No,Null
